mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text
1	1	0	0	0.0		0	0	StaffText	4/4	1	1	0						Presto
1	1	0	0	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	0		
1	1	1/4	1/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	1		
1	1	1/2	1/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	2		
1	1	3/4	3/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	3		
1	1	1	1	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	4		
1	1	5/4	5/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	5		
1	1	3/2	3/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	6		
1	1	7/4	7/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	7		
1	1	2	2	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	8		
1	1	9/4	9/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	9		
1	1	5/2	5/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	10		
1	1	11/4	11/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	11		
1	1	3	3	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	12		
1	1	13/4	13/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	13		
1	1	7/2	7/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	14		
1	1	15/4	15/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	15		
2	2	4	4	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	16		
2	2	17/4	17/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	17		
2	2	9/2	9/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	18		
2	2	19/4	19/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	19		
2	2	5	5	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	20		
2	2	21/4	21/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	21		
2	2	11/2	11/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	22		
2	2	23/4	23/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	23		
2	2	6	6	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	24		
2	2	13/2	13/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	25		
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	26		
2	2	6	6	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	27		
2	2	25/4	25/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	28		
2	2	13/2	13/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	29		
2	2	27/4	27/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	30		
2	2	7	7	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	31		
2	2	29/4	29/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	32		
2	2	15/2	15/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	33		
2	2	31/4	31/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	34		
3	3	8	8	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	35		
3	3	17/2	17/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	36		
3	3	19/2	19/2	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	37		
3	3	21/2	21/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	38		
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	39		
