mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						"MENUETTO
Moderato"
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1		
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	3		
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	4		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5		
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	6		
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	7		
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	8		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9		
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	10		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11		
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	13		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	14		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	15		
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	16		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	17		
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	18		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	19		
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	20		
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	21		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	22		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	23		
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	26		
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	27		
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	28		
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	29		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	30		
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	31		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	32		
5	5	12	12	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	33		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	34		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	35		
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	36		
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	37		
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	38		
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	39		
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	40		
