mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation
1	1	0	0	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	0	
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1	
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	2	
1	1	1	1	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	3	
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	4	
1	1	0	0	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	5	
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	6	
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	7	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	8	
2	2	3/2	3/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	9	
2	2	2	2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	10	
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	11	
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	12	
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	13	
2	2	3/2	3/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	14	
2	2	5/3	5/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	15	
2	2	11/6	11/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	16	
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	17	
3	3	3	3	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	18	
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	19	
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	20	
3	3	4	4	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	21	
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	22	
3	3	3	3	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	23	
3	3	19/6	19/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	24	
3	3	10/3	10/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	25	
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	26	
4	4	9/2	9/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	27	
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	28	
4	4	5	5	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	29	
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	30	
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	31	
