mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
3	3	8	8	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	44							
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	45							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	46							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	47							
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	2	3/8		1/4	3/2	48							
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	49							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	50							
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	51							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	52							
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	53							
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	54							
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	55							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	56							
4	4	12	12	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	57							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	58							
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	59							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	60							
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	61							
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	62							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	63							
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	64							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	65							
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	66							
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	67							
5	5	16	16	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	68							
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	69							
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	70							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	71							
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	72							
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	73							
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	74							
5	5	19	19	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	75							
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	76							
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	77							
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	78							
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	79							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	80							
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	81							
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	82							
6	6	20	20	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	83							
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	84							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	85							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	86							
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	87							
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	88							
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	89							
6	6	23	23	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	90							
6	6	93/4	93/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	91							
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	92							
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	93							
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	94							
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	95							
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	96							
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	97							
7	7	24	24	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	98							
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	99							
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	100							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	101							
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	102							
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	103							
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	104							
7	7	27	27	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	105							
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	106							
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	107							
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	108							
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	109							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	110							
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	111							
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	112							
8	8	28	28	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	113							
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	114							
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	115							
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	116							
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	117							
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	118							
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	119							
8	8	31	31	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	120							
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	121							
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	122							
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	123							
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	124							
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	125							
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	126							
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	127							
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	128							
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	129							
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	130							
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	131							
9	9	32	32	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	132							
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	133							
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	134							
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	135							
9	9	33	33	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	136							
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	137							
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	138							
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	139							
9	9	34	34	0.25	1/2	1/2	Chord	4/4	1	2	1/16		1/16	1	140							
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16		1/16	1	141							
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	142							
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	143							
9	9	35	35	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	144							
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	145							
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	146							
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	147							
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	148							
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	149							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	150							
10	10	38	38	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	151	ornamentTrill						
10	10	155/4	155/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	152							
10	10	311/8	311/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	153							
10	10	39	39	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	154	ornamentTrill						
10	10	159/4	159/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	155							
10	10	319/8	319/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	156							
10	10	36	36	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	157							
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	158							
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	159							
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	160							
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	161							
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	162							
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	163							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	164							
11	11	40	40	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	165							
11	11	161/4	161/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	166							
11	11	81/2	81/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	167							
11	11	163/4	163/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	168							
11	11	41	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	169							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	170							
11	11	42	42	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	171	ornamentTrill						
11	11	171/4	171/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	172							
11	11	343/8	343/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	173							
11	11	43	43	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	174	ornamentTrill						
11	11	175/4	175/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	175							
11	11	351/8	351/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	176							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	177							
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	178							
11	11	40	40	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	179							
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	180							
12	12	44	44	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	181							
12	12	177/4	177/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	182							
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	183							
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	184							
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	185							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	186							
12	12	46	46	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	187	ornamentTrill						
12	12	187/4	187/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	188							
12	12	375/8	375/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	189							
12	12	47	47	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	190	ornamentTrill						
12	12	191/4	191/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	191							
12	12	383/8	383/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	192							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	193							
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	194							
12	12	44	44	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	195							
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	196							
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	197							
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	198							
13	13	48	48	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	199							
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	200							
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	201							
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	202							
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	203							
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	204							
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	205							
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	206							
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	207							
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	208							
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	209							
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	210							
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	211							
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	212							
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	213							
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	214							
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	215							
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	216							
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	217							
14	14	52	52	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	218							
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	219							
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	220							
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	221							
14	14	53	53	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	222							
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	223							
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	224							
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	225							
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	226							
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	227							
15	15	57	57	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	228	ornamentTrill						
15	15	231/4	231/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	229							
15	15	463/8	463/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	230							
15	15	58	58	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	231							
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	232							
15	15	56	56	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	233							
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	234							
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	235							
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	236							
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	237							
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	238							
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	239							
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	240							
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	241							
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	242							
16	16	121/2	121/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	243							
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	244							
16	16	62	62	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	245	ornamentTrill						
16	16	251/4	251/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	246							
16	16	503/8	503/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	247							
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	248							
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	249							
16	16	60	60	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	250							
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	251							
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	252							
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	253							
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	254							
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	255							
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	256							
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	257							
17	17	64	64	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	258							
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	259							
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	260							
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	261							
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	262							
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	263							
17	17	67	67	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	264							
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	265							
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	266							
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	267							
18	18	69	69	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	268							
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	269							
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	270							
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	271							
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	272							
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	273							
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	274							
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	275							
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	276							
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	277							
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	278							
18	18	70	70	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	279							
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	280							
19	19	72	72	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	281							
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	282							
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	283							
19	19	73	73	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	284							
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	285							
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	286							
19	19	74	74	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	287							
19	19	297/4	297/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	288							
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	289							
19	19	75	75	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	290							
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	291							
