mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	4/4	2	1	D.I6{		D	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
1	1	1	1	1.0	1/4	1/4	4/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
1	1	3	3	1.0	3/4	3/4	4/4	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
2	2	4	4	1.0	0	0	4/4	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	5	5	1.0	1/4	1/4	4/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	6	6	1.0	1/2	1/2	4/4	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
2	2	7	7	1.0	3/4	3/4	4/4	2	1	V		D	I		V	V							M	0	0	1, 5, 2		1	1
3	3	8	8	1.0	0	0	4/4	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	9	9	1.0	1/4	1/4	4/4	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	10	10	1.0	1/2	1/2	4/4	2	1	V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	11	11	1.0	3/4	3/4	4/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	12	1.0	0	0	4/4	2	1	I6		D	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	13	13	1.0	1/4	1/4	4/4	2	1	IV		D	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	14	14	1.0	1/2	1/2	4/4	2	1	V6		D	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	4	15	15	1.0	3/4	3/4	4/4	2	1	V7		D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	16	16	1.0	0	0	4/4	2	1	I		D	I		I	I							M	0	0	0, 4, 1		0	0
5	5	17	17	1.0	1/4	1/4	4/4	2	1	ii65		D	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	5	18	18	2.0	1/2	1/2	4/4	2	1	V|HC}		D	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
6	6	20	20	1.0	0	0	4/4	2	1	V.I{		D	V		I	I						{	M	0	0	0, 4, 1		0	0
6	6	21	21	1.0	1/4	1/4	4/4	2	1	IV		D	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	22	22	1.0	1/2	1/2	4/4	2	1	I		D	V		I	I							M	0	0	0, 4, 1		0	0
6	6	23	23	1.0	3/4	3/4	4/4	2	1	IV		D	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
