mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1		g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1		V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
1	1	2	1.0	1/2	1/2	3/4	2	1		V7		g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	2	3	1.0	0	0	3/4	2	1		i(4)		g	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
2	2	4	1.0	1/4	1/4	3/4	2	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
2	2	5	1.0	1/2	1/2	3/4	2	1		i6}		g	i		i6	i		6				}	m	1	1	-3, 1, 0		0	-3
3	3	6	1.0	0	0	3/4	2	1		VII6{		g	i		VII6	VII		6				{	M	1	1	2, -1, -2		-2	2
3	3	7	1.0	1/4	1/4	3/4	2	1		i7		g	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
3	3	8	1.0	1/2	1/2	3/4	2	1		viio6/VII		g	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
4	4	9	1.0	0	0	3/4	2	1		VII(4)		g	i		VII(4)	VII			4				M	1	1	-2, -3, -1		-2	-2
4	4	10	1.0	1/4	1/4	3/4	2	1		VII		g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	4	11	1.0	1/2	1/2	3/4	2	1		VII6}		g	i		VII6	VII		6				}	M	1	1	2, -1, -2		-2	2
5	5	12	1.0	0	0	3/4	2	1		iv{		g	i		iv	iv						{	m	1	1	-1, -4, 0		-1	-1
5	5	13	0.75	1/4	1/4	3/4	2	1		III6(4)		g	i		III6(4)	III		6	4				M	1	1	-4, -2, -3		-3	-4
5	5	55/4	0.25	7/16	7/16	3/4	2	1		III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	5	14	1.0	1/2	1/2	3/4	2	1		iv6		g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	15	1.0	0	0	3/4	2	1		V2/III		g	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
6	6	16	1.0	1/4	1/4	3/4	2	1		III6		g	i		III6	III		6					M	1	1	1, -2, -3		-3	1
6	6	17	0.75	1/2	1/2	3/4	2	1		iio6(2)		g	i		iio6(2)	ii	o	6	2				o	1	1	-1, -4, -3		2	-1
6	6	71/4	0.25	11/16	11/16	3/4	2	1		iio6		g	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
7	7	18	0.75	0	0	3/4	2	1		i6(2)		g	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
7	7	75/4	0.25	3/16	3/16	3/4	2	1		i6		g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	19	0.75	1/4	1/4	3/4	2	1		#viio6(2)		g	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
7	7	79/4	0.25	7/16	7/16	3/4	2	1		#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
