mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		c.i{		c	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	3/4	3/4	4/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	0	0	4/4	2	1		i6}		c	i		i6	i		6				}	m	1	1	-3, 1, 0		0	-3
3	3	1/4	1/4	4/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	4/4	2	1		{		c	i									{		1	1				
5	5	0	0	4/4	2	1		}		c	i									}		1	1				
5	5	1/2	1/2	4/4	2	1		{		c	i									{		1	1				
5	5	3/4	3/4	4/4	2	1		#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
6	6	0	0	4/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
6	6	3/4	3/4	4/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
6	6	7/8	7/8	4/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	0	0	4/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
7	7	3/4	3/4	4/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
7	7	7/8	7/8	4/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	0	0	4/4	2	1		i|IAC}		c	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
8	8	1/2	1/2	4/4	2	1		{		c	i									{		1	1				
9	9	0	0	4/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
9	9	3/8	3/8	4/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	1/2	1/2	4/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	0	0	4/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
10	10	3/8	3/8	4/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	1/2	1/2	4/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	0	0	4/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	1/2	1/2	4/4	2	1		VII		c	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
