mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25	0	0	4/4	2	1	1/16		1/16	1		-3	39	Eb2	2	15
1	1	1/4	0.25	1/16	1/16	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	0
1	1	1/2	0.25	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67	G4	4	1
1	1	3/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	2
1	1	1	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		1	67	G4	4	16
1	1	1	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	3
1	1	5/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		-2	82	Bb5	5	4
1	1	3/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	17
1	1	3/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		2	74	D5	5	5
1	1	7/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		-4	80	Ab5	5	6
1	1	2	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	18
1	1	2	0.25	1/2	1/2	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	7
1	1	9/4	0.25	9/16	9/16	4/4	1	1	1/16		1/16	1		1	79	G5	5	8
1	1	5/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-4	56	Ab3	3	19
1	1	5/2	0.25	5/8	5/8	4/4	1	1	1/16		1/16	1		-4	68	Ab4	4	9
1	1	11/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	10
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	20
1	1	3	0.25	3/4	3/4	4/4	1	1	1/16		1/16	1		1	67	G4	4	11
1	1	13/4	0.25	13/16	13/16	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	12
1	1	7/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		-2	46	Bb2	2	21
1	1	7/2	0.25	7/8	7/8	4/4	1	1	1/16		1/16	1		-1	65	F4	4	13
1	1	15/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		2	74	D5	5	14
2	2	4	0.25	0	0	4/4	2	1	1/16		1/16	1		-3	39	Eb2	2	37
2	2	17/4	0.25	1/16	1/16	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	22
2	2	9/2	0.25	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67	G4	4	23
2	2	19/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	24
2	2	5	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		1	67	G4	4	38
2	2	5	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	25
2	2	21/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		-2	82	Bb5	5	26
2	2	11/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	39
2	2	11/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		2	74	D5	5	27
2	2	23/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		-4	80	Ab5	5	28
2	2	6	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		-3	63	Eb4	4	40
2	2	6	0.25	1/2	1/2	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	29
2	2	25/4	0.25	9/16	9/16	4/4	1	1	1/16		1/16	1		1	79	G5	5	30
2	2	13/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-4	56	Ab3	3	41
2	2	13/2	0.25	5/8	5/8	4/4	1	1	1/16		1/16	1		-4	68	Ab4	4	31
2	2	27/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	32
2	2	7	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		-2	58	Bb3	3	42
2	2	7	0.25	3/4	3/4	4/4	1	1	1/16		1/16	1		1	67	G4	4	33
2	2	29/4	0.25	13/16	13/16	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	34
2	2	15/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		-2	46	Bb2	2	43
2	2	15/2	0.25	7/8	7/8	4/4	1	1	1/16		1/16	1		-1	65	F4	4	35
2	2	31/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		2	74	D5	5	36
3	3	8	1.0	0	0	4/4	2	1	1/4		1/4	1		-3	39	Eb2	2	54
3	3	8	0.25	0	0	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	44
3	3	33/4	0.25	1/16	1/16	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	45
3	3	17/2	0.25	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67	G4	4	46
3	3	35/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		-3	63	Eb4	4	47
3	3	9	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		-1	77	F5	5	48
3	3	9	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		-4	80	Ab5	5	48
3	3	37/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		-1	53	F3	3	55
3	3	19/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		2	50	D3	3	56
3	3	39/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		-2	46	Bb2	2	57
3	3	10	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		-3	39	Eb2	2	58
3	3	10	0.25	1/2	1/2	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	49
3	3	10	0.25	1/2	1/2	4/4	1	1	1/16		1/16	1		1	79	G5	5	49
3	3	41/4	0.25	9/16	9/16	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	50
3	3	21/2	0.25	5/8	5/8	4/4	1	1	1/16		1/16	1		1	67	G4	4	51
3	3	43/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		-3	63	Eb4	4	52
3	3	11	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		-1	77	F5	5	53
3	3	11	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		-4	80	Ab5	5	53
3	3	45/4	0.25	13/16	13/16	4/4	2	1	1/16		1/16	1		-1	53	F3	3	59
3	3	23/2	0.25	7/8	7/8	4/4	2	1	1/16		1/16	1		2	50	D3	3	60
3	3	47/4	0.25	15/16	15/16	4/4	2	1	1/16		1/16	1		-2	46	Bb2	2	61
4	4	12	1.0	0	0	4/4	2	1	1/4		1/4	1		-3	39	Eb2	2	77
4	4	12	0.25	0	0	4/4	1	1	1/16		1/16	1		-3	75	Eb5	5	62
4	4	12	0.25	0	0	4/4	1	1	1/16		1/16	1		1	79	G5	5	62
4	4	49/4	0.25	1/16	1/16	4/4	1	1	1/16		1/16	1		-2	70	Bb4	4	63
4	4	25/2	0.25	1/8	1/8	4/4	1	1	1/16		1/16	1		1	67	G4	4	64
4	4	51/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		-3	63	Eb4	4	65
