mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	1	12/8	1/8	11/8		1			firstMeasure	2
2	1	1/2	6.0	1	12/8	3/2	0						3
3	2	13/2	6.0	1	12/8	3/2	0				line		4
4	3	25/2	6.0	1	12/8	3/2	0						5
5	4	37/2	6.0	1	12/8	3/2	0						6
6	5	49/2	6.0	1	12/8	3/2	0				line		7
7	6	61/2	6.0	1	12/8	3/2	0						8
8	7	73/2	6.0	1	12/8	3/2	0						9
9	8	85/2	6.0	1	12/8	3/2	0				line		10
10	9	97/2	6.0	1	12/8	3/2	0						11
11	10	109/2	6.0	1	12/8	3/2	0						12
12	11	121/2	6.0	1	12/8	3/2	0				line		13
13	12	133/2	6.0	1	12/8	3/2	0						14
14	13	145/2	6.0	1	12/8	3/2	0						15
15	14	157/2	6.0	1	12/8	3/2	0						16
16	15	169/2	6.0	1	12/8	3/2	0				line		17
17	16	181/2	6.0	1	12/8	3/2	0						18
18	17	193/2	6.0	1	12/8	3/2	0						19
19	18	205/2	6.0	1	12/8	3/2	0						20
20	19	217/2	5.5	1	12/8	11/8	0				page	end	1, 21
21	19	114	0.5	1	12/8	1/8	11/8		1	start-repeat		start	22
22	20	229/2	6.0	1	12/8	3/2	0						23
23	21	241/2	6.0	1	12/8	3/2	0						24
24	22	253/2	6.0	1	12/8	3/2	0				line		25
25	23	265/2	6.0	1	12/8	3/2	0						26
26	24	277/2	6.0	1	12/8	3/2	0						27
27	25	289/2	6.0	1	12/8	3/2	0				line		28
28	26	301/2	6.0	1	12/8	3/2	0						29
29	27	313/2	6.0	1	12/8	3/2	0						30
30	28	325/2	6.0	1	12/8	3/2	0				line		31
31	29	337/2	6.0	1	12/8	3/2	0						32
32	30	349/2	6.0	1	12/8	3/2	0						33
33	31	361/2	6.0	1	12/8	3/2	0				line		34
34	32	373/2	6.0	1	12/8	3/2	0						35
35	33	385/2	6.0	1	12/8	3/2	0						36
36	34	397/2	6.0	1	12/8	3/2	0						37
37	35	409/2	6.0	1	12/8	3/2	0				line		38
38	36	421/2	6.0	1	12/8	3/2	0						39
39	37	433/2	6.0	1	12/8	3/2	0						40
40	38	445/2	6.0	1	12/8	3/2	0						41
41	39	457/2	6.0	1	12/8	3/2	0				line		42
42	40	469/2	6.0	1	12/8	3/2	0						43
43	41	481/2	6.0	1	12/8	3/2	0						44
44	42	493/2	6.0	1	12/8	3/2	0						45
45	43	505/2	5.5	1	12/8	11/8	0					end	21, -1
