mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	3	4/4	1/4	3/4		1			firstMeasure	2
2	1	3	4/4	1	0						3
3	2	3	4/4	1	0				line		4
4	3	3	4/4	1	0						5
5	4	3	4/4	1	0						6
6	5	3	4/4	1	0				line		7
7	6	3	4/4	1	0						8
8	7	3	4/4	1	0						9
9	8	3	4/4	1	0				line		10
10	9	3	4/4	1	0						11
11	10	3	4/4	1	0						12
12	11	3	4/4	1	0				page		13
13	12	3	4/4	1	0						14
14	13	3	4/4	1	0						15
15	14	3	4/4	1	0				line		16
16	15	3	4/4	1	0						17
17	16	3	4/4	1	0						18
18	17	3	4/4	1	0				line		19
19	18	3	4/4	1	0						20
20	19	3	4/4	1	0						21
21	20	3	4/4	1	0				line		22
22	21	3	4/4	1	0						23
23	22	3	4/4	1	0						24
24	23	3	4/4	1	0				line		25
25	24	3	4/4	1	0						26
26	25	3	4/4	1	0						27
27	26	3	4/4	1/4	0				page	end	1, 28
28	26	3	4/4	3/4	1/4		1	start-repeat		start	29
29	27	3	4/4	1	0						30
30	28	3	4/4	1	0				line		31
31	29	3	4/4	1	0						32
32	30	3	4/4	1	0				line		33
33	31	3	4/4	1	0						34
34	32	3	4/4	1	0						35
35	33	3	4/4	1	0				line		36
36	34	3	4/4	1	0						37
37	35	3	4/4	1	0						38
38	36	3	4/4	1	0				page		39
39	37	3	4/4	1	0						40
40	38	3	4/4	1	0						41
41	39	3	4/4	1	0				line		42
42	40	3	4/4	1	0						43
43	41	3	4/4	1	0						44
44	42	3	4/4	1	0				line		45
45	43	3	4/4	1	0						46
46	44	3	4/4	1	0						47
47	45	3	4/4	1	0				line		48
48	46	3	4/4	1	0						49
49	47	3	4/4	1	0						50
50	48	3	4/4	1	0						51
51	49	3	4/4	1/4	0					end	28, -1
