mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	6.0	-3	12/8	3/2	0						firstMeasure	2
2	2	6	6	6.0	-3	12/8	3/2	0					line		3
3	3	12	12	6.0	-3	12/8	3/2	0							4
4	4	18	18	6.0	-3	12/8	3/2	0					line		5
5	5	24	24	6.0	-3	12/8	3/2	0							6
6	6	30	30	6.0	-3	12/8	3/2	0							7
7	7	36	36	6.0	-3	12/8	3/2	0					line		8
8	8	42	42	6.0	-3	12/8	3/2	0							9
9	9	48	48	6.0	-3	12/8	3/2	0							10
10	10	54	54	6.0	-3	12/8	3/2	0					line		11
11	11	60	60	6.0	-3	12/8	3/2	0							12
12	12	66	66	6.0	-3	12/8	3/2	0							13
13	13	72	72	6.0	-3	12/8	3/2	0					page		14
14	14	78	78	6.0	-3	12/8	3/2	0							15
15	15	84	84	6.0	-3	12/8	3/2	0							16
16	16	90	90	6.0	-3	12/8	3/2	0					line		17
17	17	96	96	6.0	-3	12/8	3/2	0							18
18	18	102	102	6.0	-3	12/8	3/2	0							19
19	19	108	108	6.0	-3	12/8	3/2	0					line		20
20	20	114	114	6.0	-3	12/8	3/2	0							21
21	21	120	120	6.0	-3	12/8	3/2	0							22
22	22	126	126	6.0	-3	12/8	3/2	0					line		23
23	23	132	132	6.0	-3	12/8	3/2	0							24
24	24	138	138	6.0	-3	12/8	3/2	0							25
25	25	144	144	6.0	-3	12/8	3/2	0					line		26
26	26	150	150	6.0	-3	12/8	3/2	0							27
27	27	156	156	6.0	-3	12/8	3/2	0							28
28	28	162	162	6.0	-3	12/8	3/2	0					line		29
29	29	168	168	6.0	-3	12/8	3/2	0							30, 31
30	30		174	6.0	-3	12/8	3/2	0	1					end	1
31	30	174	180	6.0	-3	12/8	3/2	0	2		1		page		32
32	31	180	186	6.0	-3	12/8	3/2	0				start-repeat		start	33
33	32	186	192	6.0	-3	12/8	3/2	0							34
34	33	192	198	6.0	-3	12/8	3/2	0					line		35
35	34	198	204	6.0	-3	12/8	3/2	0							36
36	35	204	210	6.0	-3	12/8	3/2	0							37
37	36	210	216	6.0	-3	12/8	3/2	0					line		38
38	37	216	222	6.0	-3	12/8	3/2	0							39
39	38	222	228	6.0	-3	12/8	3/2	0							40
40	39	228	234	6.0	-3	12/8	3/2	0					line		41
41	40	234	240	6.0	-3	12/8	3/2	0							42
42	41	240	246	6.0	-3	12/8	3/2	0							43
43	42	246	252	6.0	-3	12/8	3/2	0					line		44
44	43	252	258	6.0	-3	12/8	3/2	0							45
45	44	258	264	6.0	-3	12/8	3/2	0							46
46	45	264	270	6.0	-3	12/8	3/2	0					page		47
47	46	270	276	6.0	-3	12/8	3/2	0							48
48	47	276	282	6.0	-3	12/8	3/2	0					line		49
49	48	282	288	6.0	-3	12/8	3/2	0							50
50	49	288	294	6.0	-3	12/8	3/2	0					line		51
51	50	294	300	6.0	-3	12/8	3/2	0							52
52	51	300	306	6.0	-3	12/8	3/2	0							53
53	52	306	312	6.0	-3	12/8	3/2	0					line		54
54	53	312	318	6.0	-3	12/8	3/2	0							55
55	54	318	324	6.0	-3	12/8	3/2	0							56
56	55	324	330	6.0	-3	12/8	3/2	0					line		57
57	56	330	336	6.0	-3	12/8	3/2	0							58
58	57	336	342	6.0	-3	12/8	3/2	0							59, 60
59	58		348	6.0	-3	12/8	3/2	0	1					end	32
60	58	342	354	6.0	-3	12/8	3/2	0	2		1	end		lastMeasure	-1
